Filename,Class Label
=_4774.jpg,39
-_3152.jpg,19
int_2164.jpg,23
(_13752.jpg,37
-_14688.jpg,19
-_28974.jpg,19
-_9277.jpg,19
sin_1844.jpg,14
beta_1071.jpg,0
-_7755.jpg,19
=_7199.jpg,39
(_12794.jpg,37
)_7530.jpg,42
-_8163.jpg,19
-_6967.jpg,19
sqrt_5414.jpg,21
infty_1159.jpg,4
-_13364.jpg,19
-_1347.jpg,19
)_1445.jpg,42
-_23038.jpg,19
+_11640.jpg,16
cos_1772.jpg,18
-_1310.jpg,19
sin_2358.jpg,14
sin_1165.jpg,14
cos_1743.jpg,18
-_27096.jpg,19
=_3191.jpg,39
pi_692.jpg,22
times_340.jpg,13
+_4165.jpg,16
!_387.jpg,34
=_1422.jpg,39
=_5209.jpg,39
)_12728.jpg,42
=_11236.jpg,39
)_11016.jpg,42
=_3774.jpg,39
+_222.jpg,16
sin_1155.jpg,14
-_28822.jpg,19
lim_1351.jpg,25
+_11015.jpg,16
)_9889.jpg,42
=_7815.jpg,39
beta_1252.jpg,0
-_23158.jpg,19
+_4144.jpg,16
ldots_404.jpg,29
)_7787.jpg,42
infty_14.jpg,4
+_11425.jpg,16
-_30694.jpg,19
+_10593.jpg,16
log_1178.jpg,28
-_29433.jpg,19
lim_167.jpg,25
+_18890.jpg,16
cos_2279.jpg,18
=_11177.jpg,39
times_1066.jpg,13
sum_1701.jpg,24
phi_47.jpg,40
=_11661.jpg,39
(_3495.jpg,37
[_286.jpg,43
)_11885.jpg,42
-_10009.jpg,19
[_96.jpg,43
!_14.jpg,34
+_15580.jpg,16
-_21436.jpg,19
]_634.jpg,36
+_22183.jpg,16
int_1677.jpg,23
-_12010.jpg,19
-_26178.jpg,19
=_3733.jpg,39
(_11714.jpg,37
sin_2083.jpg,14
sqrt_8123.jpg,21
]_409.jpg,36
=_2552.jpg,39
(_4767.jpg,37
{_192.jpg,15
)_9673.jpg,42
sqrt_5491.jpg,21
+_16407.jpg,16
-_23148.jpg,19
-_29288.jpg,19
(_13370.jpg,37
+_14416.jpg,16
+_7778.jpg,16
log_1199.jpg,28
theta_1932.jpg,32
(_1585.jpg,37
